handle,title,status,type,vendor,desc_words,seo_desc,image,variants,variants_sin_gtin
sofa-terraza-3-plazas-estilo-moderno-18770-cm,Sofá terraza 3 plazas · estilo moderno | 187×70 cm,ACTIVE,Sofá,Hevea,178,sí,sí,1,1
sofa-terraza-2-plazas-estilo-elegante-13170-cm,Sofá terraza 2 plazas · estilo elegante | 131×70 cm,ACTIVE,Sofá,Hevea,179,sí,sí,1,1
set-jardin-2-plazas-moderno-sofa-2-plazas-2-sillones-mesa,Set jardín 2 plazas · moderno | sofá 2 plazas + 2 sillones + mesa,ACTIVE,Conjunto sofá,Hevea,180,sí,sí,1,1
sofa-terraza-2-plazas-estilo-contemporaneo-16269-cm,Sofá terraza 2 plazas · estilo contemporáneo | 162×69 cm,ACTIVE,Sofá,Hevea,180,sí,sí,1,1
sofa-terraza-3-plazas-estilo-contemporaneo-215104-cm,Sofá terraza 3 plazas · estilo contemporáneo | 215×104 cm,ACTIVE,Sofá,Hevea,180,sí,sí,1,1
sofa-terraza-2-plazas-estilo-contemporaneo-12078-cm,Sofá terraza 2 plazas · estilo contemporáneo | 120×78 cm,ACTIVE,Sofá,Hevea,185,sí,sí,1,1
set-jardin-aluminio-3-plazas-contemporaneo-sofa-3-plazas-2-sillones-mesa,Set jardín aluminio 3 plazas · contemporáneo | sofá 3 plazas + 2 sillones + mesa,ACTIVE,Conjunto sofá,Hevea,186,sí,sí,1,1
sofa-terraza-2-plazas-estilo-contemporaneo-13370-cm,Sofá terraza 2 plazas · estilo contemporáneo | 133×70 cm,ACTIVE,Sofá,Hevea,188,sí,sí,1,1
banco-jardin-con-mesa-integrada-220-cm,Banco jardín con mesa integrada · 220 cm,ACTIVE,Banco con mesa,Hevea,190,sí,sí,1,1
balliu-tumbona-de-exterior-resina-28ff014d,Tumbona exterior resina · Noa,ACTIVE,Tumbona,Balliu,190,sí,sí,80,80
pergola-aluminio-para-jardin-300300250-cm,Pérgola aluminio para jardín · 300×300×250 cm,ACTIVE,Pérgola,Hevea,192,sí,sí,1,1
sofa-terraza-2-plazas-estilo-contemporaneo-13090-cm,Sofá terraza 2 plazas · estilo contemporáneo | 130×90 cm,ACTIVE,Sofá,Hevea,196,sí,sí,1,1
set-rinconera-exterior-contemporaneo-sofa-de-esquina-mesa-de-centro,Set rinconera exterior · contemporáneo | sofá de esquina + mesa de centro,ACTIVE,Conjunto rinconera,Hevea,196,sí,sí,1,1
mesa-de-centro-exterior-aluminio-hpl-gd-110x60,Mesa de centro exterior · aluminio HPL Gran Densidad 110×60 cm,DRAFT,Mesa,santavila,0,NO,NO,1,1
mesa-auxiliar-exterior-aluminio-hpl-gd-45x45-etna,Mesa auxiliar exterior · aluminio HPL Gran Densidad 45×45 cm · Etna,DRAFT,Mesa,santavila,0,NO,NO,1,1
mesa-auxiliar-exterior-aluminio-werzalit-60-etna,Mesa auxiliar exterior · aluminio Werzalit Ø60 cm · Etna,DRAFT,Mesa,santavila,0,NO,NO,1,1
mesa-exterior-aluminio-hpl-gd-brunei,Mesa exterior aluminio · HPL Gran Densidad · Brunei,DRAFT,Mesa,santavila,0,NO,NO,4,4
mesa-extensible-exterior-aluminio-hpl-gd-java,Mesa extensible exterior aluminio · HPL Gran Densidad · Java,DRAFT,Mesa,santavila,0,NO,NO,2,2
mesa-exterior-aluminio-hpl-gd-capri,Mesa exterior aluminio · HPL Gran Densidad · Capri,DRAFT,Mesa,santavila,0,NO,NO,5,5
mesa-exterior-aluminio-hpl-gd-120x80-capri-doble,Mesa exterior aluminio · HPL GD / pie alto · Capri Doble 120×80,DRAFT,Mesa,santavila,0,NO,NO,3,3
mesa-exterior-aluminio-altea-extras,Mesa exterior aluminio · variantes extras · Altea,DRAFT,Mesa,santavila,0,NO,NO,5,5
mesa-exterior-aluminio-agata-extras,Mesa exterior aluminio · variantes extras · Ágata,DRAFT,Mesa,santavila,0,NO,NO,2,2
silla-exterior-resina-bruna-precio-alto-pendiente,"Silla exterior resina · Bruna (variante 197,73€) — pendiente confirmar",DRAFT,Silla,santavila,0,NO,NO,1,1
balliu-tumbona-de-exterior-20620134,Tumbona Alba (DRAFT — pendiente verificar con proveedor),DRAFT,Tumbona,Balliu,2,sí,NO,1,1
balliu-silla-exterior-aluminio-estilo-contemporaneo-afd89221,Silla exterior aluminio · estilo contemporáneo,DRAFT,Silla,Balliu,2,sí,sí,1,1
balliu-mesa-exterior-aluminio-9e30ca7f,Mesa exterior aluminio,DRAFT,Mesa,Balliu,2,sí,sí,1,1
balliu-mesa-exterior-1cf4d3d5,Mesa exterior,DRAFT,Mesa,Balliu,2,sí,sí,1,1
balliu-mesa-exterior-hpl-24090-cm-78358691,Mesa exterior HPL | 240×90 cm,DRAFT,Mesa,Balliu,2,sí,sí,1,1
balliu-mesa-exterior-hpl-24090-cm-d4e471c5,Mesa exterior HPL | 240×90 cm,DRAFT,Mesa,Balliu,2,sí,sí,1,1
balliu-mesa-exterior-200-260100-cm-9d798e50,Mesa exterior | 200/260×100 cm,DRAFT,Mesa,Balliu,2,sí,sí,1,1
balliu-mesa-exterior-hpl-140-180100-cm-e5e3bb40,Mesa exterior HPL | 140/180×100 cm,DRAFT,Mesa,Balliu,2,sí,sí,1,1
balliu-mesa-exterior-hpl-200-260100-cm-23187ea9,Mesa exterior HPL | 200/260×100 cm,DRAFT,Mesa,Balliu,2,sí,sí,1,1
balliu-mesa-exterior-hpl-200-260100-cm-4a63be2f,Mesa exterior HPL | 200/260×100 cm,DRAFT,Mesa,Balliu,2,sí,sí,1,1
balliu-mesa-exterior-hpl-7070-cm-9d14e31f,Mesa exterior HPL | 70×70 cm,DRAFT,Mesa,Balliu,2,sí,sí,1,1
balliu-mesa-exterior-hpl-7070-cm-146f72ca,Mesa exterior HPL | 70×70 cm,DRAFT,Mesa,Balliu,2,sí,sí,1,1
balliu-mesa-exterior-hpl-8080-cm-1a2fe7b5,Mesa exterior HPL | 80×80 cm,DRAFT,Mesa,Balliu,2,sí,sí,1,1
balliu-mesa-exterior-hpl-8080-cm-96593887,Mesa exterior HPL | 80×80 cm,DRAFT,Mesa,Balliu,2,sí,sí,1,1
balliu-mesa-exterior-hpl-7070-cm-f6074154,Mesa exterior HPL | 70×70 cm,DRAFT,Mesa,Balliu,2,sí,sí,1,1
balliu-accesorio-exterior-resina-df85d2d1,Accesorio exterior resina,DRAFT,Mobiliario exterior,Balliu,2,sí,sí,1,1
balliu-limpiador-para-mobiliario-exterior-d0d3fc26,Limpiador para mobiliario exterior,DRAFT,Accesorio,Balliu,2,sí,sí,1,1
balliu-mesa-exterior-hpl-451e7ba8,Mesa exterior HPL,DRAFT,Mesa,Balliu,3,sí,sí,1,1
balliu-mesa-exterior-hpl-3adfe773,Mesa exterior HPL,DRAFT,Mesa,Balliu,3,sí,sí,1,1
balliu-mesa-exterior-hpl-65e3ca13,Mesa exterior HPL,DRAFT,Mesa,Balliu,3,sí,sí,1,1
balliu-mesa-exterior-hpl-1b4f3962,Mesa exterior HPL,DRAFT,Mesa,Balliu,3,sí,sí,1,1
balliu-mesa-alta-exterior-hpl-a3352658,Mesa alta exterior HPL,DRAFT,Mesa,Balliu,3,sí,sí,1,1
balliu-mesa-alta-exterior-hpl-5d74130e,Mesa alta exterior HPL,DRAFT,Mesa,Balliu,3,sí,sí,1,1
balliu-mesa-alta-exterior-hpl-45c511e9,Mesa alta exterior HPL,DRAFT,Mesa,Balliu,4,sí,sí,1,1
balliu-mesa-alta-exterior-hpl-f99491ce,Mesa alta exterior HPL,DRAFT,Mesa,Balliu,4,sí,sí,1,1
balliu-accesorio-exterior-resina-da11d420,Accesorio exterior resina,DRAFT,Mobiliario exterior,Balliu,5,sí,sí,1,1
balliu-silla-exterior-con-brazos-estilo-contemporaneo-53-cm-c654c52f,Silla exterior con brazos · estilo contemporáneo | 53 cm,DRAFT,Silla,Balliu,16,sí,sí,1,1
balliu-cojin-exterior-523e5ae9,Cojín exterior,DRAFT,Accesorio,Balliu,66,sí,NO,1,1
balliu-tumbona-de-exterior-resina-ddeeef3f,Tumbona de exterior resina,DRAFT,Tumbona,Balliu,72,sí,sí,1,1
balliu-mesa-exterior-aluminio-8080-cm-a05618ad,Mesa exterior aluminio | 80×80 cm,DRAFT,Mesa,Balliu,78,sí,sí,1,1
balliu-mesa-exterior-aluminio-8080-cm-0a3ee957,Mesa exterior aluminio | 80×80 cm,DRAFT,Mesa,Balliu,78,sí,sí,1,1
balliu-mesa-exterior-aluminio-80-cm-50525e0b,Mesa exterior aluminio | Ø80 cm,DRAFT,Mesa,Balliu,78,sí,sí,1,1
balliu-mesa-exterior-aluminio-80-cm-b06218ca,Mesa exterior aluminio | Ø80 cm,DRAFT,Mesa,Balliu,78,sí,sí,1,1
balliu-mesa-exterior-aluminio-12080-cm-bf75a33d,Mesa exterior aluminio | 120×80 cm,DRAFT,Mesa,Balliu,78,sí,sí,1,1
balliu-mesa-exterior-aluminio-75-cm-d7ab6e04,Mesa exterior aluminio | 75 cm,DRAFT,Mesa,Balliu,78,sí,sí,1,1
balliu-mesa-exterior-aluminio-75-cm-c0092e17,Mesa exterior aluminio | 75 cm,DRAFT,Mesa,Balliu,78,sí,sí,1,1
balliu-silla-exterior-con-brazos-resina-estilo-funcional-94b6e5b5,Silla exterior con brazos resina · estilo funcional,DRAFT,Silla,Balliu,82,sí,sí,1,1
balliu-mesa-exterior-aluminio-90-cm-22901f1b,Mesa exterior aluminio redonda · Santavila Capri,DRAFT,Mesa,Balliu,82,sí,sí,2,2
balliu-parasol-para-terraza-82e48b2d,Parasol exterior tela · Ø200 cm · Pamela tela,DRAFT,Parasol,Balliu,84,sí,sí,64,64
balliu-mesa-exterior-resina-80-cm-eb565c3e,Mesa exterior resina | Ø80 cm,DRAFT,Mesa,Balliu,87,sí,sí,1,1
balliu-mesa-exterior-resina-90-cm-871df608,Mesa exterior resina | Ø90 cm,DRAFT,Mesa,Balliu,87,sí,sí,1,1
balliu-mesa-exterior-resina-7070-cm-7ab14c9a,Mesa exterior resina | 70×70 cm,DRAFT,Mesa,Balliu,87,sí,sí,1,1
balliu-mesa-exterior-resina-8080-cm-1a5a5005,Mesa exterior resina | 80×80 cm,DRAFT,Mesa,Balliu,87,sí,sí,1,1
balliu-mesa-exterior-resina-12080-cm-747885bd,Mesa exterior resina | 120×80 cm,DRAFT,Mesa,Balliu,87,sí,sí,1,1
balliu-tumbona-de-exterior-resina-73-cm-b19af1ea,Tumbona de exterior resina | 73 cm,DRAFT,Tumbona,Balliu,88,sí,sí,1,1
balliu-tumbona-de-exterior-resina-73-cm-32a6c0ea,Tumbona de exterior resina | 73 cm,DRAFT,Tumbona,Balliu,88,sí,sí,1,1
balliu-mesa-auxiliar-exterior-aluminio-27ce9446,Mesa auxiliar exterior aluminio,DRAFT,Mesa,Balliu,88,sí,sí,1,1
balliu-mesa-auxiliar-exterior-resina-48-cm-911a77ba,Mesa auxiliar exterior resina | 48 cm,DRAFT,Mesa,Balliu,89,sí,sí,1,1
balliu-mesa-auxiliar-exterior-resina-48-cm-25cd2ede,Mesa auxiliar exterior resina | 48 cm,DRAFT,Mesa,Balliu,91,sí,sí,1,1
balliu-mesa-auxiliar-exterior-aluminio-54-cm-9e2a2ecb,Mesa auxiliar exterior aluminio | 54 cm,DRAFT,Mesa,Balliu,91,sí,sí,1,1
balliu-mesa-auxiliar-exterior-aluminio-54-cm-5ad43bf2,Mesa auxiliar exterior aluminio | 54 cm,DRAFT,Mesa,Balliu,91,sí,sí,1,1
balliu-mesa-auxiliar-exterior-aluminio-54-cm-2ad5a2df,Mesa auxiliar exterior aluminio | 54 cm,DRAFT,Mesa,Balliu,91,sí,sí,1,1
tumbona-lola-tablillas,Tumbona exterior resina playa · 75 cm tablillas · Lola T,DRAFT,Tumbona,santavila,104,sí,sí,5,5
tumbona-carmen-tablillas,Tumbona exterior resina · 75 cm tablillas · Carmen T,DRAFT,Tumbona,santavila,113,sí,sí,5,5
set-jardin-contemporaneo-sofa-2-plazas-2-sillones-mesa,Set jardín · contemporáneo | sofá 2 plazas + 2 sillones + mesa,DRAFT,Conjunto sofá,Hevea,133,sí,sí,1,1
mesa-exterior-aluminio-hpl-120x80-capri-doble,Mesa exterior aluminio · HPL 120×80 cm · Capri Doble,DRAFT,Mesa,santavila,134,sí,sí,15,15
parasol-para-terraza-300-cm-2,Parasol para terraza Ø300 cm 2,DRAFT,Parasol,Hevea,188,sí,sí,1,1
parasol-para-terraza-350-cm,Parasol para terraza Ø350 cm,DRAFT,Parasol,Hevea,193,sí,sí,1,1
parasol-para-terraza-300-cm,Parasol para terraza Ø300 cm,DRAFT,Parasol,Hevea,199,sí,sí,1,1
parasol-cuadrado-200x200,Parasol cuadrado exterior · aluminio 200×200 cm · Ágora,DRAFT,Parasol,santavila,211,sí,sí,9,9
